ride_id,ride_datetime,pickup_location,drop_location,distance_km,ride_duration_min,base_fare,demand_level,weather,event_nearby,traffic_level,driver_id,rider_id,driver_rating,rider_rating,payment_method,ride_status,total_fare,is_fraudulent,predicted_demand_next_hour
120,2025-01-20 08:23:00,Station,IT Park,5.53,18.6,62.85,Medium,Foggy,No,Low,1047,2408,3.53,3.92,Credit Card,Completed,109.42242601156497,1,761
121,2025-01-03 05:50:00,Downtown,Airport,7.8,51.1,61.01,Medium,Hot,Yes,Low,1080,2404,4.41,4.11,UPI,Cancelled,89.95771469129454,0,453
122,2025-01-04 20:49:00,Airport,Airport,28.94,24.6,64.59,Medium,Rainy,No,Low,1056,2197,4.61,3.57,UPI,Completed,106.97571449951913,0,966
123,2025-01-24 22:38:00,IT Park,Airport,8.4,50.5,90.27,Medium,Foggy,No,High,1038,2486,3.48,3.05,Wallet,Completed,139.97495636766217,0,494
124,2025-01-09 09:03:00,University,Airport,20.19,44.0,62.28,Low,Hot,No,Low,1011,2286,3.08,4.25,UPI,Completed,66.67289086102485,1,195
125,2025-01-17 09:34:00,Mall,Airport,29.38,14.7,95.8,Low,Rainy,No,Medium,1067,2088,4.25,3.51,UPI,Completed,102.82415136772826,1,205
126,2025-01-10 08:13:00,Station,Downtown,11.85,32.9,65.28,High,Rainy,No,High,1015,2235,4.13,4.34,Credit Card,Cancelled,141.38117088321744,0,754
127,2025-01-14 19:17:00,IT Park,IT Park,1.51,42.3,96.44,Low,Hot,No,Medium,1001,2232,3.8,4.49,Wallet,Completed,115.9785502846759,0,777
128,2025-01-11 18:16:00,Mall,University,8.08,17.9,88.3,Medium,Rainy,No,Low,1007,2007,4.29,4.83,Cash,Completed,119.54018669525946,0,612
129,2025-01-10 22:30:00,Mall,Mall,25.1,50.7,55.37,Medium,Hot,No,High,1001,2292,4.1,4.92,Credit Card,Completed,82.94228755210918,0,657
130,2025-01-25 22:34:00,Airport,Mall,26.07,35.0,90.45,Medium,Foggy,No,Low,1049,2038,3.5,3.02,Credit Card,Completed,113.87700067526549,0,341
131,2025-01-04 10:14:00,Mall,IT Park,23.29,14.1,37.7,Low,Hot,Yes,Medium,1096,2464,3.8,4.98,Credit Card,Completed,49.451128039717574,0,955
132,2025-01-05 17:16:00,University,IT Park,4.28,37.1,94.75,Low,Rainy,Yes,High,1073,2052,3.86,4.37,Wallet,Completed,108.33631079932007,0,587
133,2025-01-14 20:59:00,IT Park,Mall,24.07,60.0,74.22,High,Foggy,No,Medium,1029,2143,4.76,4.29,UPI,Completed,160.36852622214874,0,889
134,2025-01-29 09:51:00,Mall,Mall,27.64,13.3,33.81,High,Foggy,No,Medium,1026,2430,4.92,3.03,Cash,Completed,104.79269213355053,0,614
135,2025-01-16 08:17:00,Airport,Downtown,18.42,49.9,75.1,Medium,Clear,No,Low,1087,2407,4.79,4.72,Wallet,Completed,118.78365267096504,0,753
136,2025-01-12 03:08:00,University,Station,28.29,16.4,98.2,Medium,Clear,Yes,Medium,1045,2396,4.44,3.29,UPI,Completed,138.41233890144053,0,997
137,2025-01-01 22:59:00,Downtown,University,24.98,48.0,34.89,Medium,Rainy,Yes,Medium,1093,2221,4.17,4.67,Credit Card,Completed,73.16936575720582,0,160
138,2025-01-10 05:41:00,IT Park,Airport,20.34,45.4,68.83,Medium,Hot,No,Medium,1097,2428,4.38,3.03,Wallet,Completed,90.28016712534279,0,515
139,2025-01-20 19:47:00,Mall,Station,17.74,21.5,82.35,Medium,Hot,Yes,High,1071,2240,4.88,4.29,UPI,Completed,128.51825588009575,0,393
140,2025-01-10 01:51:00,Airport,IT Park,11.11,22.9,86.72,Low,Rainy,No,High,1012,2143,3.5,3.87,Cash,Completed,93.00154752839694,0,836
141,2025-01-03 17:13:00,Downtown,Mall,5.62,48.6,58.97,Medium,Foggy,Yes,High,1095,2349,4.07,3.4,Cash,Completed,95.76360571214175,0,401
142,2025-01-19 03:45:00,Downtown,Station,18.54,30.4,44.29,Medium,Rainy,Yes,Medium,1032,2493,4.38,3.22,UPI,Completed,64.94860505631061,0,269
143,2025-01-14 23:45:00,Station,University,10.23,45.2,32.96,High,Rainy,No,Medium,1020,2363,4.36,3.88,Wallet,Completed,96.88412280213944,0,745
144,2025-01-15 13:36:00,University,IT Park,26.13,13.1,70.58,Low,Foggy,No,High,1051,2382,3.5,3.25,Credit Card,Completed,76.8851251474966,0,140
145,2025-01-23 00:17:00,Mall,Airport,29.81,51.9,61.7,Medium,Hot,No,High,1081,2049,4.17,3.97,UPI,Completed,97.99834089754317,0,330
146,2025-01-03 05:06:00,Airport,Airport,22.82,44.1,96.41,Medium,Rainy,No,Medium,1036,2277,4.59,4.25,Credit Card,Cancelled,133.7293489950507,0,508
147,2025-01-03 18:30:00,Station,University,3.62,54.9,34.24,Medium,Hot,No,Low,1067,2271,3.95,4.65,Cash,Completed,75.39051637210466,0,837
148,2025-01-01 04:19:00,University,University,9.37,12.3,77.98,Low,Rainy,No,Low,1001,2014,4.59,4.36,UPI,Completed,84.25637560654323,0,750
149,2025-01-20 21:54:00,Station,Mall,4.16,37.6,31.75,Medium,Foggy,No,Medium,1027,2298,3.72,3.13,Cash,Completed,58.40746868139908,0,721
150,2025-01-09 11:35:00,IT Park,Airport,19.86,38.0,42.0,Medium,Foggy,No,Medium,1040,2492,4.88,3.61,Credit Card,Completed,82.22068839804898,0,396
151,2025-01-19 18:11:00,University,IT Park,23.19,24.4,61.75,Medium,Clear,Yes,High,1097,2464,4.07,3.58,Credit Card,Completed,84.88267338476724,0,554
152,2025-01-10 01:29:00,University,Station,27.84,30.2,61.84,Medium,Foggy,No,Low,1084,2015,4.19,4.83,UPI,Completed,95.46186014170142,0,156
153,2025-01-07 20:09:00,Mall,IT Park,13.71,7.1,78.0,Medium,Clear,Yes,Low,1014,2234,3.06,4.74,UPI,Cancelled,112.7828127199727,0,734
154,2025-01-30 22:13:00,University,Downtown,27.14,46.0,93.71,Medium,Rainy,No,Medium,1069,2063,3.34,3.74,UPI,Cancelled,125.15010930745504,0,339
155,2025-01-12 15:24:00,Station,Downtown,26.46,35.2,74.73,High,Hot,No,Medium,1087,2196,4.27,3.14,Cash,Completed,136.77798311406403,0,697
156,2025-01-24 08:23:00,University,University,10.2,8.2,96.75,Medium,Foggy,No,Low,1079,2027,3.84,4.79,Credit Card,Completed,127.40948792976064,0,275
157,2025-01-18 19:48:00,Mall,Mall,26.2,42.4,91.71,Low,Foggy,No,Medium,1006,2471,4.02,4.78,Credit Card,Completed,101.56063562019318,0,162
158,2025-01-03 05:28:00,Mall,Downtown,11.89,30.7,70.91,Medium,Foggy,No,Medium,1033,2093,3.13,4.71,Cash,Completed,105.8879702394625,0,650
159,2025-01-22 14:47:00,IT Park,Airport,9.61,6.9,88.37,Low,Rainy,No,Medium,1055,2105,4.67,4.69,UPI,Completed,96.65002103362667,0,237
160,2025-01-15 06:25:00,Station,IT Park,19.82,58.3,74.98,Medium,Clear,No,Medium,1019,2309,4.57,3.96,Wallet,Completed,124.02705370578512,0,553
161,2025-01-24 13:31:00,Downtown,IT Park,10.52,57.2,35.5,Low,Rainy,No,Medium,1077,2052,3.37,3.35,UPI,Completed,54.513761362792565,0,852
162,2025-01-08 23:10:00,Downtown,University,19.28,33.2,81.84,Low,Hot,No,Medium,1029,2319,4.27,3.95,Wallet,Completed,84.14780458019848,0,548
163,2025-01-04 07:37:00,University,Station,18.69,10.2,36.64,High,Rainy,No,High,1061,2457,4.64,3.99,Wallet,No-show,89.69614376628834,0,325
164,2025-01-20 11:27:00,IT Park,University,17.34,46.5,71.59,Low,Hot,Yes,Low,1070,2181,4.28,3.98,Cash,Completed,89.57177919921187,0,542
165,2025-01-19 09:17:00,Airport,Station,12.03,32.1,79.18,Medium,Foggy,Yes,High,1079,2057,3.62,4.08,Credit Card,Completed,115.58210843951605,0,305
